"","date","Total.Tested","positive","Recovered","deaths","hospitalized","new.hospital","ICU","Admit","RMCC6.Hospitalized","RMCC6.ICU","RMCC6.Admit","RMCC6.Leave","negative","Percent.Pos","discharged","never_hospitalized","New.Positive","New.Negative","New.Percent.Positive","Week.Positivity.Rate","Total.Daily.Tests","Still.Sick","Percent.Hospitalized","New.Deaths","Bremer.Positive","Butler.P","BlackHawk.P","Bremer.Recovered","Butler.R","BlackHawk.R","Bremer.Death","Butler.D","BlackHawk.D","Bremer.SS","Butler.SS","BlackHawk.SS","Knights.Positive","Knights.Isolation","Kights.Quarantine","TotalTested2","TotalPositive2","TotalRecovered2","TotalDeaths2","New.Positive.Tests","Individuals.Reported","Individuals.Positive","X","Bremer.Rep","Bremer.Pos","Black.Hawk.Rep","Black.Hawk.Pos","Butler.Rep","Butler.Pos","Bremer.Pct","Black.Hawk.Pct","Butler.Pct","State.7Day","State.14Day","Bremer.7Day","Black.Hawk.7Day","Butler.7Day","Bremer.School","Black.Hawk.School","Butler.School","Total.Tests","Positive.Tests","PCR.Individuals","Antigen.Individuals","Positive.PCR.Individuals","Positive.Antigen.Individuals","Individuals.Tested","Individuals.Postive","Bremer.Total.Tests","Bremer.Positive.Tests","Bremer.PCR.Individuals","Bremer.Antigen.Individuals","Bremer.Positive.PCR.Individuals","Bremer.Positive.Antigen.Individuals","Bremer.Individuals.Tested","Bremer.Individuals.Postive","Butler.Total.Tests","Butler.Positive.Tests","Butler.PCR.Individuals","ButlerAntigen.Individuals","Positive.Butler.PCR.Individuals","Positive.ButlerAntigen.Individuals","Butler.Individuals.Tested","Butler.Individuals.Postive","Black.Hawk.Total.Tests","Black.Hawk.Positive.Tests","BH.PCR.Individuals","BH.Antigen.Individuals","Positive.BH.PCR.Individuals","Positive.BH.Antigen.Individuals","Positive.Positive.BH.PCR.Individuals","Positive.Positive.BH.Antigen.Individuals","time.change","np_day","New.Bremer.Positive.Tests"
"176",2020-09-09,676598,71075,858342,1185,322,NA,83,32,77,15,5,2,605523,NA,NA,NA,425,2556,NA,NA,2981,18961,1.69822266758082,15,388,232,4053,226,196,3112,7,2,79,155,36,862,67,67,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,425,NA
"177",2020-09-10,681906,71731,858342,1204,302,NA,85,48,72,19,10,15,610175,NA,NA,NA,656,4652,NA,NA,5308,18906,1.59737649423463,19,400,233,4078,234,207,3173,7,2,81,159,26,824,43,43,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,656,NA
"178",2020-09-11,688102,72631,858342,1208,281,NA,83,27,62,20,7,17,615471,NA,NA,NA,900,5296,NA,NA,6196,19162,1.46644400375744,4,414,236,4117,236,210,3209,7,2,81,171,26,827,42,43,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,900,NA
"179",2020-09-12,694371,73495,858342,1216,290,NA,90,50,67,18,12,7,620876,NA,NA,NA,864,5405,NA,NA,6269,19349,1.4987854669492,8,418,238,4151,239,212,3244,7,2,81,172,26,826,26,30,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,864,NA
"180",2020-09-13,700464,74299,858342,1218,274,NA,79,36,74,19,13,6,626165,NA,NA,NA,804,5289,NA,NA,6093,19964,1.37247044680425,2,424,239,4168,241,213,3249,7,2,81,176,26,838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,804,NA
"181",2020-09-14,703686,74739,858342,1220,272,NA,75,34,70,16,9,13,628947,NA,NA,NA,440,2782,NA,NA,3222,20218,1.34533583935107,2,428,244,4179,241,216,3254,7,2,81,180,28,844,9,12,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,440,NA
"182",2020-09-15,707012,75167,858342,1233,284,NA,74,36,72,15,9,7,631845,NA,NA,NA,428,2898,NA,NA,3326,19697,1.44184393562471,13,436,246,4193,244,218,3288,7,2,81,185,28,824,15,15,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,428,NA
"183",2020-09-16,712506,75860,858342,1234,291,NA,79,44,69,16,11,14,636646,NA,NA,NA,693,4801,NA,NA,5494,19630,1.4824248599083,1,441,248,4221,249,221,3340,7,2,83,185,27,798,20,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,693,NA
"184",2020-09-17,719629,76967,858342,1248,271,NA,85,34,60,17,8,17,642662,NA,NA,NA,1107,6016,NA,NA,7123,19994,1.3554066219866,14,447,251,4249,251,223,3373,7,2,84,189,28,792,29,29,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1107,NA
"185",2020-09-18,725004,77979,858342,1257,281,NA,91,55,67,20,21,14,647025,NA,NA,NA,1012,4363,NA,NA,5375,20270,1.38628515046867,9,452,254,4288,255,227,3407,7,2,84,190,27,797,29,29,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1012,NA
"186",2020-09-19,732185,79073,858342,1264,282,NA,81,34,68,13,7,6,653112,NA,NA,NA,1094,6087,NA,NA,7181,20582,1.370129239141,7,459,257,4319,258,231,3439,7,2,86,194,26,794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1094,NA
"187",2020-09-20,737979,80009,858342,1265,269,NA,73,46,62,13,12,18,657970,NA,NA,NA,936,4858,NA,NA,5794,21233,1.26689586963689,1,463,258,4339,258,232,3445,7,2,86,198,26,808,30,31,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,936,NA
"188",2020-09-21,740655,80475,858342,1265,271,NA,74,34,65,16,8,5,660180,NA,NA,NA,466,2210,NA,NA,2676,21395,1.2666510867025,0,462,260,4352,258,234,3450,7,2,86,197,26,816,27,28,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,466,NA
"189",2020-09-22,744666,81081,858342,1284,285,NA,72,37,74,17,10,1,663585,NA,NA,NA,606,3405,NA,NA,4011,20635,1.3811485340441,19,468,262,4375,265,234,3491,7,2,86,196,28,798,25,26,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,606,NA
"190",2020-09-23,750122,81794,858342,1293,301,NA,77,59,71,17,12,15,668328,NA,NA,NA,713,4743,NA,NA,5456,20216,1.48891966759003,9,472,264,4401,272,238,3543,7,2,88,193,26,770,31,32,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,713,NA
"191",2020-09-24,757067,83098,858342,1298,305,NA,79,56,77,22,14,8,673969,NA,NA,NA,1304,5641,NA,NA,6945,20348,1.49891881265972,5,476,265,4423,284,239,3600,7,2,88,185,26,735,28,28,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1304,NA
"192",2020-09-25,763690,84160,858342,1303,330,NA,87,69,81,21,15,11,679530,NA,NA,NA,1062,5561,NA,NA,6623,20283,1.62697825765419,5,484,268,4442,289,242,3676,7,2,88,188,26,678,20,20,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1062,NA
"193",2020-09-26,771755,85422,858342,1311,334,NA,84,57,85,20,12,8,686333,NA,NA,NA,1262,6803,NA,NA,8065,18669,1.78906208152552,8,491,270,4482,312,249,3718,7,2,90,172,21,674,13,13,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1262,NA
"194",2020-09-27,777570,86191,858342,1314,343,NA,89,57,90,23,19,14,691379,NA,NA,NA,769,5046,NA,NA,5815,19110,1.79487179487179,3,494,271,4495,315,250,3723,7,2,90,172,21,682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,769,NA
"195",2020-09-28,785124,86661,858342,1316,353,NA,96,51,88,23,11,13,698463,NA,NA,NA,470,7084,NA,NA,7554,19183,1.84017098472606,2,495,271,4503,316,252,3734,7,2,90,172,19,679,8,8,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,470,NA
"196",2020-09-29,789287,87304,858342,1324,376,NA,97,59,87,23,11,12,701983,NA,NA,NA,643,3520,NA,NA,4163,18621,2.01922560549917,8,502,276,4510,343,253,3775,7,2,90,152,23,645,7,7,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,643,NA
"197",2020-09-30,797138,88555,858342,1342,390,NA,100,61,99,27,20,8,708583,NA,NA,NA,1251,6600,NA,NA,7851,18848,2.06918505942275,18,508,279,4547,356,256,3826,7,2,92,145,23,629,7,7,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1251,NA
"198",2020-10-01,802646,89425,858342,1358,407,NA,104,53,97,30,10,12,713221,NA,NA,NA,870,4638,NA,NA,5508,18539,2.19537191865796,16,513,281,4567,377,259,3878,7,2,92,129,22,597,7,7,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,870,NA
"199",2020-10-02,809262,90528,858342,1366,393,NA,95,66,95,25,13,15,718734,NA,NA,NA,1103,5513,NA,NA,6616,18779,2.09276319292827,8,516,283,4592,382,261,3924,7,2,92,127,22,576,4,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1103,NA
"200",2020-10-03,815884,91693,858342,1377,402,NA,100,58,103,28,14,6,724191,NA,NA,NA,1165,5457,NA,NA,6622,19023,2.11323135152184,11,519,289,4617,391,264,3962,7,2,92,121,25,563,4,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1165,NA
"201",2020-10-04,821403,92544,858342,1381,392,NA,104,58,101,29,19,21,728859,NA,NA,NA,851,4668,NA,NA,5519,19582,2.00183842304157,4,525,293,4644,392,264,3964,7,2,93,126,29,587,3,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,851,NA
"202",2020-10-05,823766,92843,858342,1387,398,NA,99,54,103,25,17,15,730923,NA,NA,NA,299,2064,NA,NA,2363,19671,2.02328300543948,6,527,292,4648,394,264,3970,7,2,94,126,28,584,3,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,299,NA
"203",2020-10-06,827172,93380,858342,1398,413,NA,104,61,103,26,10,10,733792,NA,NA,NA,537,2869,NA,NA,3406,19843,2.08133850728216,11,527,293,4664,397,264,3978,7,2,94,123,29,592,2,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,537,NA
"204",2020-10-07,832909,94342,858342,1414,444,NA,104,97,99,26,16,20,738567,NA,NA,NA,962,4775,NA,NA,5737,19691,2.25483723528516,16,531,301,4707,403,267,4024,7,2,95,121,34,588,2,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,962,NA
"205",2020-10-08,841904,95850,858342,1419,449,NA,112,63,105,28,18,12,746054,NA,NA,NA,1508,7487,NA,NA,8995,20265,2.21564273377745,5,534,304,4746,413,267,4050,7,2,95,114,37,601,3,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1508,NA
"206",2020-10-09,847954,96852,858342,1433,461,NA,104,77,111,26,21,15,751102,NA,NA,NA,1002,5048,NA,NA,6050,20426,2.25692744541271,14,541,307,4794,420,273,4079,7,2,95,114,34,620,4,4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1002,NA
"207",2020-10-10,855352,98305,858342,1454,450,NA,101,63,113,28,23,21,757047,NA,NA,NA,1453,5945,NA,NA,7398,20921,2.15094880741838,21,555,318,4854,426,275,4103,7,2,96,122,43,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1453,NA
"208",2020-10-11,861858,99619,858342,1460,438,NA,100,63,101,20,11,23,762239,NA,NA,NA,1314,5192,NA,NA,6506,21905,1.99954348322301,6,563,322,4912,427,285,4108,7,2,96,129,37,708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1314,NA
"209",2020-10-12,864454,100043,858342,1462,449,NA,109,53,100,21,13,14,764411,NA,NA,NA,424,2172,NA,NA,2596,22090,2.03259393390675,2,564,322,4920,429,285,4112,7,2,96,128,37,712,6,6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,424,NA
"210",2020-10-13,867390,100562,858342,1481,463,NA,114,62,100,19,16,16,766828,NA,NA,NA,519,2417,NA,NA,2936,21054,2.19910705804123,19,569,322,4931,441,292,4150,7,2,96,121,30,685,7,7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,519,NA
"211",2020-10-14,872496,101628,858342,1491,473,NA,106,74,104,22,16,12,770868,NA,NA,NA,1066,4040,NA,NA,5106,21115,2.24011366327256,10,576,324,4967,448,294,4188,7,2,96,121,30,683,8,8,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1066,NA
"212",2020-10-15,879098,103015,858342,1505,482,NA,107,66,102,20,17,19,776083,NA,NA,NA,1387,5215,NA,NA,6602,21434,2.24876364654288,14,583,326,5008,455,295,4219,7,2,96,121,31,693,8,8,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1387,NA
"213",2020-10-16,886557,104552,858342,1521,468,NA,105,66,94,17,15,23,782005,NA,NA,NA,1537,5922,NA,NA,7459,22545,2.07584830339321,16,594,333,5075,457,304,4245,7,2,96,130,29,734,8,8,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1537,NA
"214",2020-10-17,893668,106047,858342,1524,461,NA,104,55,97,17,14,11,787621,NA,NA,NA,1495,5616,NA,NA,7111,23055,1.99956625460854,3,605,337,5130,462,304,4281,7,2,96,136,33,753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1495,NA
"215",2020-10-18,898873,107062,858342,1528,475,NA,108,84,103,19,21,15,791811,NA,NA,NA,1015,4190,NA,NA,5205,23753,1.99974740032838,4,611,340,5167,464,304,4286,7,2,96,140,36,785,5,5,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1015,NA
"216",2020-10-19,901734,107562,858342,1532,480,NA,113,63,97,19,11,17,794172,NA,NA,NA,500,2361,NA,NA,2861,23984,2.00133422281521,4,611,342,5176,465,304,4300,7,2,96,139,38,780,3,3,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,500,NA
"217",2020-10-20,905212,108176,858342,1548,501,NA,122,71,106,24,19,10,797036,NA,NA,NA,614,2864,NA,NA,3478,23212,2.15836636222643,16,614,344,5195,469,317,4326,8,2,96,137,27,773,5,5,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,614,NA
"218",2020-10-21,910774,109313,858342,1576,534,NA,134,90,116,28,21,11,801461,NA,NA,NA,1137,4425,NA,NA,5562,23133,2.30839061081572,28,625,347,5269,476,319,4345,9,2,96,140,28,828,6,6,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1137,NA
"219",2020-10-22,917195,110779,858342,1594,530,NA,135,85,124,31,29,21,806416,NA,NA,NA,1466,4955,NA,NA,6421,23592,2.24652424550695,18,630,352,5314,481,319,4366,9,2,98,140,33,850,7,7,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1466,NA
"220",2020-10-23,923998,112346,858342,1617,536,NA,134,78,129,28,20,15,811652,NA,NA,NA,1567,5236,NA,NA,6803,24209,2.2140526250568,23,644,356,5402,486,320,4389,9,2,98,149,36,915,7,7,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1567,NA
